,scores
226,-0.009999999776482582
227,0.0
228,0.0
229,-0.009999999776482582
230,-0.009999999776482582
231,0.0
232,-0.009999999776482582
233,0.0
234,-0.009999999776482582
235,0.0
236,0.0
237,-0.009999999776482582
238,0.0
239,-0.009999999776482582
240,-0.009999999776482582
241,0.0
242,0.0
243,-0.009999999776482582
244,-0.009999999776482582
245,0.0
246,0.0
247,-0.009999999776482582
248,-0.009999999776482582
249,0.0
250,-0.009999999776482582
251,0.0
252,0.0
253,-0.009999999776482582
254,-0.009999999776482582
255,0.0
256,-0.009999999776482582
257,0.0
258,0.0
259,-0.009999999776482582
260,0.0
261,-0.009999999776482582
262,-0.009999999776482582
263,0.0
264,0.0
265,-0.009999999776482582
266,0.0
267,-0.009999999776482582
268,0.0
269,-0.009999999776482582
270,-0.009999999776482582
271,0.0
272,-0.009999999776482582
273,0.0
274,-0.009999999776482582
275,0.0
276,0.0
277,-0.009999999776482582
278,-0.009999999776482582
279,0.0
280,-0.009999999776482582
281,0.0
282,0.0
283,-0.009999999776482582
284,-0.009999999776482582
285,0.0
286,-0.009999999776482582
287,0.0
288,-0.009999999776482582
289,0.0
290,-0.009999999776482582
291,0.0
292,-0.009999999776482582
293,0.0
294,-0.009999999776482582
295,0.0
296,0.10000000149011612
297,-0.009999999776482582
298,0.0
299,-0.009999999776482582
300,0.0
301,-0.009999999776482582
302,-0.009999999776482582
303,0.0
304,0.0
305,-0.009999999776482582
306,-0.009999999776482582
307,0.0
308,-0.009999999776482582
309,0.0
310,-0.009999999776482582
311,0.0
312,-0.009999999776482582
313,0.0
314,0.0
315,-0.009999999776482582
316,0.0
317,-0.009999999776482582
318,0.0
319,-0.009999999776482582
320,0.0
321,-0.009999999776482582
322,0.0
323,-0.009999999776482582
324,0.0
325,-0.009999999776482582
326,0.10000000149011612
327,-0.009999999776482582
328,0.0
329,-0.009999999776482582
330,-0.009999999776482582
331,0.0
332,0.0
333,-0.009999999776482582
334,-0.009999999776482582
335,0.0
336,0.0
337,-0.009999999776482582
338,-0.009999999776482582
339,0.0
340,0.0
341,-0.009999999776482582
342,-0.009999999776482582
343,0.0
344,-0.009999999776482582
345,0.0
346,-0.009999999776482582
347,0.0
348,0.0
349,-0.009999999776482582
350,-0.009999999776482582
351,0.0
352,0.0
353,-0.009999999776482582
354,0.0
355,-0.009999999776482582
356,-0.009999999776482582
357,0.0
358,-0.009999999776482582
359,0.0
360,-0.009999999776482582
361,0.0
362,0.0
363,-0.009999999776482582
364,0.0
365,0.09000000171363354
366,0.0
367,-0.009999999776482582
368,0.10000000149011612
369,-0.009999999776482582
370,0.10000000149011612
371,-0.009999999776482582
372,-0.009999999776482582
373,0.0
374,0.0
375,-0.009999999776482582
376,0.0
377,-0.009999999776482582
378,0.0
379,-0.009999999776482582
380,0.0
381,-0.009999999776482582
382,0.10000000149011612
383,0.09000000171363354
384,-0.009999999776482582
385,0.0
386,0.0
387,-0.009999999776482582
388,0.0
389,-0.009999999776482582
390,0.0
391,-0.009999999776482582
392,-0.009999999776482582
393,0.0
394,0.0
395,-0.009999999776482582
396,0.0
397,-0.009999999776482582
398,-0.009999999776482582
399,0.0
400,-0.009999999776482582
401,0.0
402,0.0
403,-0.009999999776482582
404,-0.009999999776482582
405,0.10000000149011612
406,-0.009999999776482582
407,0.0
408,0.0
409,-0.009999999776482582
410,0.0
411,-0.009999999776482582
412,0.0
413,-0.009999999776482582
414,-0.009999999776482582
415,0.0
416,0.0
417,-0.009999999776482582
418,-0.009999999776482582
419,0.0
420,-0.009999999776482582
421,0.0
422,0.0
423,-0.009999999776482582
424,0.0
425,-0.009999999776482582
426,0.0
427,-0.009999999776482582
428,0.0
429,-0.009999999776482582
430,0.0
431,-0.009999999776482582
432,0.0
433,-0.009999999776482582
434,-0.009999999776482582
435,0.0
436,0.0
437,-0.009999999776482582
438,0.0
439,-0.009999999776482582
440,0.0
441,-0.009999999776482582
442,-0.009999999776482582
443,0.0
444,0.0
445,-0.009999999776482582
446,0.0
447,-0.009999999776482582
