,actor_loss,critic_loss
0,-0.07224067598581314,0.00013309163318808714
1,-0.07199088595807553,0.0001192809380881954
2,-0.0698104064911604,9.472672988977137e-05
3,-0.07007550485432149,8.536746227036929e-05
4,-0.06940575651824474,5.0155820781583314e-05
5,-0.06874849013984204,7.878475034885923e-05
6,-0.06672170888632536,4.067835534442566e-05
7,-0.06711129993200302,3.3658392453617125e-05
8,-0.06696587596088648,1.6777105292931084e-05
9,-0.06788882687687874,1.796444936417174e-05
10,-0.06825629528611898,1.0088444230405003e-05
11,-0.06765928436070681,1.7451760550102334e-05
12,-0.06866666823625564,3.520334790323432e-05
13,-0.06601445842534304,3.884463681060879e-05
14,-0.06705967392772436,5.490090011335269e-05
15,-0.06705296747386455,4.918133851106177e-05
16,-0.066236212849617,3.741034444146862e-05
17,-0.06572696585208178,9.86390898560785e-05
18,-0.06486617419868708,4.707870609763631e-05
19,-0.06833800263702869,3.123345769608932e-05
20,-0.06375120282173156,3.508345165528226e-05
21,-0.06626322232186795,4.5331678188631484e-05
22,-0.06357639916241169,4.4468626356319874e-05
23,-0.06574783381074667,3.6017372656260706e-05
24,-0.0628339122980833,2.3567755431486147e-05
25,-0.06590964533388614,5.158680196473142e-05
26,-0.05954912304878235,2.5497650511852044e-05
27,-0.06737943328917026,8.723192470370123e-05
28,-0.06155497673898935,1.3513466478798364e-05
29,-0.0649627098813653,7.359262042427872e-05
30,-0.05813956297934055,8.29716101975464e-06
31,-0.0635118579491973,7.599206992381369e-05
32,-0.058940688893198964,4.698080249454506e-06
33,-0.06184294354170561,6.087166859742865e-05
34,-0.05869528222829103,3.237776317632779e-06
35,-0.058442706055939195,4.711648198281182e-05
36,-0.05663632676005363,5.5008684171298224e-06
37,-0.0577313706278801,3.2144027773028935e-05
38,-0.05665416531264782,2.538888672631856e-06
39,-0.055824161320924756,3.0269186572695618e-05
40,-0.05449367742985487,2.4624549361362822e-06
41,-0.05451919492334127,2.550919482473546e-05
42,-0.05417786631733179,2.0884253160602386e-06
43,-0.053801046870648864,2.260985047541908e-05
44,-0.051748089119791986,3.628161078950143e-06
45,-0.051442514173686504,1.3435380719784006e-05
46,-0.05230901446193457,2.060854734509121e-06
47,-0.050193820148706436,6.922501347617071e-06
48,-0.05036176163703203,2.2451534462675227e-06
49,-0.050026627257466316,4.574929891987267e-06
50,-0.04907291810959578,2.3585329046227343e-06
51,-0.04859813991934061,3.975191836502745e-06
52,-0.049753722921013835,4.464160569739306e-06
53,-0.047930794022977355,3.0252888763016017e-06
54,-0.047849135100841524,1.0690454143968963e-05
55,-0.04728548415005207,2.1858134260810404e-06
56,-0.04633292686194181,7.167560511334159e-06
57,-0.0468176020309329,2.276079300145284e-06
58,-0.04746496062725782,4.738451308128333e-06
59,-0.046332547441124916,1.8417470300846616e-06
60,-0.044230719469487666,6.419010097147293e-06
61,-0.04675088915973902,1.1882302970889213e-06
62,-0.04184018280357123,5.1235325145171375e-06
63,-0.04426878523081541,9.855824657734048e-07
64,-0.0442424176260829,4.266310705247634e-06
65,-0.04411172401160002,8.53025878200242e-07
66,-0.04107756707817316,6.536979537941079e-06
67,-0.042212605103850366,1.4476102506932876e-06
68,-0.04248379617929458,5.760471378835064e-06
69,-0.041505623050034045,1.302960056648317e-06
70,-0.0392692219465971,7.1253528176384865e-06
71,-0.04169489182531834,9.590886378418872e-07
72,-0.04070732519030571,4.69900608095486e-06
73,-0.038560275733470914,1.5564432899850545e-06
74,-0.03838467057794333,1.882800220300851e-05
75,-0.036682532727718355,3.6701867912825038e-06
76,-0.03721338603645563,7.413339426420862e-06
77,-0.03586913412436843,1.7608667428703483e-05
78,-0.035607841517776254,6.19545112385822e-06
79,-0.03802218623459339,2.3870618929322517e-05
80,-0.03706580139696598,1.7160557490569772e-05
81,-0.03690278325229883,7.819781319540198e-06
82,-0.037286159861832854,9.90496695294496e-06
83,-0.03604455851018429,3.3998241178778698e-06
84,-0.035197672247886655,1.4140282451080565e-05
85,-0.03392824912443757,1.9580279501951737e-05
86,-0.03527546999976039,1.842036829202698e-05
87,-0.03486022595316172,5.436980683271031e-06
88,-0.03420830629765988,9.62024537329853e-06
89,-0.032545280456542966,4.474147675637141e-06
90,-0.03453223947435617,8.033581366362341e-06
91,-0.032110821921378374,1.281958332128852e-05
92,-0.03368981834501028,1.5550493185401137e-05
93,-0.030442982632666826,6.636052449948693e-06
94,-0.03424524273723364,9.398948947136887e-06
95,-0.03034828919917345,1.1888904083434682e-05
96,-0.030808543600142003,6.63561646092603e-06
97,-0.029714535269886256,3.0546386938112848e-06
98,-0.03283894369378686,1.7120211697374544e-05
99,-0.028921362943947315,3.703047804037851e-06
100,-0.033160789683461186,8.339339615304198e-06
101,-0.029803681746125223,1.2095641704945592e-05
102,-0.03538333410397172,2.156736305778395e-05
103,-0.027834875229746103,4.425762503501573e-06
104,-0.03466429011896253,2.4433558905911923e-05
105,-0.0266620397567749,4.591843787693506e-06
106,-0.032522130850702526,1.0606320654460432e-05
107,-0.02711419519037008,1.17141933401399e-05
108,-0.03516772408038378,1.9498549943364196e-05
109,-0.02650545323267579,6.1335434793363675e-06
110,-0.03192521603778005,9.865823938071116e-06
111,-0.02553262347355485,3.317899790999945e-06
112,-0.034685570280998945,2.080911374378047e-05
113,-0.025377050042152405,2.6041030849910387e-06
114,-0.032290119025856254,7.3992199645545044e-06
115,-0.026743814907968046,2.1255202148040554e-05
116,-0.03338058115914464,8.52659682095691e-06
117,-0.02384424190968275,1.5620693784512695e-05
118,-0.03416750365868211,6.9272147243282236e-06
119,-0.022489943634718658,2.2295115718407034e-05
120,-0.033141210302710535,7.262342626290774e-06
121,-0.023467211797833443,9.391773630795797e-06
